다중지점통계
[검색조건]
,분류 : 방재
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 강남,강동,강북,강서,관악,광진,구로,금천,기상청,남현,노원,도봉,동대문,마포,북악산,북한산,서대문,서초,성동,성북,송파,양천,영등포 ,용산,은평,중구,중랑,한강,현충원
,기간 : 2015 ~ 2020  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2015-01,-0.6,3.5,-4.4,15.0
 2015-02,1.5,5.9,-2.4,28.0
 2015-03,6.5,12.3,1.3,10.5
 2015-04,13.5,18.9,8.6,115.5
 2015-05,18.9,24.9,13.6,41.5
 2015-06,23.3,29.1,18.6,134.5
 2015-07,25.5,29.8,22.1,303.5
 2015-08,26.3,31.2,22.7,189.5
 2015-09,22.2,27.6,17.7,74.0
 2015-10,15.7,21.0,11.2,98.0
 2015-11,9.3,12.8,6.3,168.5
 2015-12,2.2,6.2,-1.3,40.5
 2016-01,-2.4,1.6,-6.1,0.5
 2016-02,0.9,5.4,-3.3,50.5
 2016-03,7.4,12.6,2.8,48.5
 2016-04,14.3,20.6,9.4,96.0
 2016-05,19.6,25.9,14.2,193.0
 2016-06,23.5,28.8,19.2,74.0
 2016-07,26.1,30.2,22.9,459.0
 2016-08,27.8,32.6,24.1,151.0
 2016-09,22.8,27.6,19.1,68.0
 2016-10,16.1,21.0,11.9,93.5
 2016-11,7.4,11.8,3.5,19.0
 2016-12,2.1,6.2,-1.8,77.0
 2017-01,-1.0,3.3,-5.0,19.0
 2017-02,0.5,5.1,-3.8,17.0
 2017-03,6.7,12.2,2.0,12.5
 2017-04,14.0,19.8,9.1,69.0
 2017-05,19.2,25.3,14.0,24.5
 2017-06,23.0,28.6,18.2,130.0
 2017-07,26.8,30.6,23.9,702.0
 2017-08,25.7,29.7,22.5,515.0
 2017-09,21.7,26.9,17.3,35.0
 2017-10,15.8,21.0,11.3,45.5
 2017-11,5.9,10.5,1.6,47.0
 2017-12,-1.6,2.3,-5.4,47.5
 2018-01,-3.7,0.2,-7.3,6.5
 2018-02,-1.3,3.4,-5.6,54.0
 2018-03,8.2,13.4,3.9,84.5
 2018-04,13.1,18.6,8.1,153.0
 2018-05,18.2,23.5,13.3,237.5
 2018-06,23.0,28.6,18.5,217.5
 2018-07,27.5,32.3,23.7,231.0
 2018-08,28.5,33.2,24.8,571.0
 2018-09,21.3,25.9,17.4,88.0
 2018-10,13.2,18.5,8.7,164.0
 2018-11,8.1,13.0,4.0,99.0
 2018-12,-0.3,4.1,-4.3,24.0
 2019-01,-0.7,3.9,-5.0,0.5
 2019-02,1.3,6.0,-3.0,33.5
 2019-03,7.3,12.6,2.7,41.0
 2019-04,12.2,17.8,7.1,52.5
 2019-05,19.4,25.9,13.5,58.0
 2019-06,22.5,27.9,17.9,92.5
 2019-07,25.9,30.4,22.5,346.5
 2019-08,27.1,32.0,23.2,259.5
 2019-09,22.6,27.2,18.8,196.5
 2019-10,16.3,21.5,12.0,73.0
 2019-11,7.8,13.0,3.4,117.0
 2019-12,1.8,5.7,-2.2,29.5
 2020-01,1.9,6.3,-1.7,67.0
 2020-02,2.8,7.6,-1.2,57.0
 2020-03,8.0,13.7,2.7,20.0
 2020-04,,,,1.5
 평균,13.0,17.9,8.8,118.6





