다중지점통계
[검색조건]
,분류 : 방재
,요소 : 바람일사, 일조
,검색구분 : 월
,지점명 : 강남,강동,강북,강서,관악,광진,구로,금천,기상청,남현,노원,도봉,동대문,마포,북악산,북한산,서대문,서초,성동,성북,송파,양천,영등포 ,용산,은평,중구,중랑,한강,현충원
,기간 : 2015 ~ 2020  01~12


선텍 전체 통계
일시,평균풍속(m/s),최대풍속(m/s)
 2015-01,2.7,9.4
 2015-02,2.9,10.0
 2015-03,2.8,10.7
 2015-04,2.7,11.0
 2015-05,2.3,10.5
 2015-06,2.4,10.4
 2015-07,2.5,8.1
 2015-08,2.2,12.3
 2015-09,2.4,8.3
 2015-10,2.4,9.6
 2015-11,2.8,9.3
 2015-12,2.7,9.2
 2016-01,2.7,9.4
 2016-02,3.1,9.0
 2016-03,2.6,9.1
 2016-04,2.4,10.0
 2016-05,2.6,11.5
 2016-06,2.2,7.4
 2016-07,2.3,8.1
 2016-08,2.5,8.7
 2016-09,2.3,10.0
 2016-10,2.6,9.0
 2016-11,2.7,7.3
 2016-12,2.8,9.0
 2017-01,2.9,10.3
 2017-02,3.0,8.8
 2017-03,2.7,10.4
 2017-04,2.7,13.3
 2017-05,2.5,11.1
 2017-06,2.6,8.7
 2017-07,2.1,8.5
 2017-08,2.7,12.0
 2017-09,2.3,11.9
 2017-10,2.3,9.3
 2017-11,2.7,9.7
 2017-12,2.8,9.4
 2018-01,2.7,9.5
 2018-02,2.9,8.6
 2018-03,2.6,9.9
 2018-04,2.7,12.6
 2018-05,2.4,9.4
 2018-06,2.2,9.1
 2018-07,2.3,7.6
 2018-08,2.6,12.3
 2018-09,2.7,9.4
 2018-10,2.4,10.8
 2018-11,2.1,8.1
 2018-12,2.7,9.5
 2019-01,2.4,9.7
 2019-02,2.5,7.6
 2019-03,2.6,9.2
 2019-04,2.4,9.0
 2019-05,2.5,8.8
 2019-06,2.3,9.2
 2019-07,2.4,8.3
 2019-08,2.1,9.9
 2019-09,2.4,17.3
 2019-10,2.2,8.9
 2019-11,2.4,9.0
 2019-12,2.5,9.4
 2020-01,2.3,9.4
 2020-02,2.6,8.9
 2020-03,2.9,11.8
 2020-04,,9.3
 평균,2.5,9.7




