다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 서울
,기간 : 2015 ~ 2020  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2015-01,-0.9,3.6,-4.8,11.3
 2015-02,1.0,6.0,-2.9,22.7
 2015-03,6.3,12.4,1.0,9.6
 2015-04,13.3,18.8,8.4,80.5
 2015-05,18.9,24.9,13.6,28.9
 2015-06,23.6,29.5,18.9,99.0
 2015-07,25.8,30.0,22.6,226.0
 2015-08,26.3,30.8,22.8,72.9
 2015-09,22.4,28.1,17.5,26.0
 2015-10,15.5,21.2,10.8,81.5
 2015-11,8.9,12.7,5.9,104.6
 2015-12,1.6,6.0,-2.1,29.1
 2016-01,-3.2,1.1,-6.8,1.0
 2016-02,0.2,5.1,-4.1,47.6
 2016-03,7.0,12.6,2.4,40.5
 2016-04,14.1,20.3,9.1,76.8
 2016-05,19.6,25.7,14.1,160.5
 2016-06,23.6,28.7,19.5,54.4
 2016-07,26.2,29.8,23.3,358.2
 2016-08,28.0,32.6,24.5,67.1
 2016-09,23.1,27.9,19.3,33.0
 2016-10,16.1,21.3,11.6,74.8
 2016-11,6.8,11.6,2.8,16.7
 2016-12,1.2,5.8,-2.7,61.1
 2017-01,-1.8,2.9,-5.8,14.9
 2017-02,-0.2,4.8,-4.7,11.1
 2017-03,6.3,12.3,1.7,7.9
 2017-04,13.9,20.0,9.1,61.6
 2017-05,19.5,25.4,14.4,16.1
 2017-06,23.3,28.8,18.7,66.6
 2017-07,26.9,30.4,24.3,621.0
 2017-08,25.9,29.7,22.9,297.0
 2017-09,22.1,27.4,17.5,35.0
 2017-10,16.4,22.5,11.6,26.5
 2017-11,5.6,10.5,1.3,40.7
 2017-12,-1.9,2.2,-5.7,34.8
 2018-01,-4.0,0.1,-7.3,8.5
 2018-02,-1.6,3.3,-5.9,29.6
 2018-03,8.1,13.6,3.8,49.5
 2018-04,13.0,18.5,8.1,130.3
 2018-05,18.2,23.3,13.4,222.0
 2018-06,23.1,28.4,18.9,171.5
 2018-07,27.8,32.1,24.2,185.6
 2018-08,28.8,33.3,25.2,202.6
 2018-09,21.5,26.0,17.6,68.5
 2018-10,13.1,18.6,8.5,120.5
 2018-11,7.8,13.2,3.6,79.1
 2018-12,-0.6,4.1,-4.7,16.4
 2019-01,-0.9,4.1,-5.1,0.0
 2019-02,1.0,6.0,-3.2,23.8
 2019-03,7.1,12.4,2.7,26.8
 2019-04,12.1,17.6,7.2,47.3
 2019-05,19.4,25.6,13.7,37.8
 2019-06,22.5,27.7,18.1,74.0
 2019-07,25.9,30.1,22.7,194.4
 2019-08,27.2,31.6,23.6,190.5
 2019-09,22.6,27.1,19.0,139.8
 2019-10,16.4,21.8,11.8,55.5
 2019-11,7.6,12.9,3.1,78.8
 2019-12,1.4,5.3,-2.6,22.6
 2020-01,1.6,5.9,-1.7,60.5
 2020-02,2.5,7.2,-1.3,53.1
 2020-03,7.7,13.3,2.6,16.3
 2020-04,,,,
 평균,12.9,17.9,8.7,84.5





