다중지점통계
[검색조건]
,분류 : 지상
,요소 : 바람
,검색구분 : 월
,지점명 : 서울
,기간 : 2015 ~ 2020  01~12


선텍 전체 통계
일시,평균풍속(m/s),최대풍속(m/s)
 2015-01,2.6,7.7
 2015-02,2.9,8.5
 2015-03,3.1,9.1
 2015-04,3.1,10.4
 2015-05,3.0,11.1
 2015-06,2.5,7.8
 2015-07,2.8,8.0
 2015-08,2.4,8.1
 2015-09,2.3,6.7
 2015-10,2.3,8.6
 2015-11,2.7,7.7
 2015-12,2.3,8.0
 2016-01,2.5,9.0
 2016-02,2.8,7.6
 2016-03,2.4,7.1
 2016-04,2.4,8.0
 2016-05,2.4,8.7
 2016-06,2.1,6.8
 2016-07,2.1,6.1
 2016-08,2.1,7.3
 2016-09,2.0,8.1
 2016-10,2.1,6.3
 2016-11,2.2,6.1
 2016-12,2.2,7.2
 2017-01,2.3,7.0
 2017-02,2.4,7.8
 2017-03,2.4,8.5
 2017-04,2.6,8.1
 2017-05,2.4,8.5
 2017-06,2.4,6.4
 2017-07,2.0,7.3
 2017-08,2.3,7.7
 2017-09,2.0,6.8
 2017-10,1.9,7.6
 2017-11,2.1,6.7
 2017-12,1.8,6.7
 2018-01,1.9,7.2
 2018-02,2.2,6.3
 2018-03,1.9,6.9
 2018-04,2.0,8.8
 2018-05,1.7,8.0
 2018-06,1.7,5.7
 2018-07,1.5,4.2
 2018-08,1.7,7.1
 2018-09,1.6,5.7
 2018-10,1.5,6.1
 2018-11,1.4,5.6
 2018-12,1.8,5.9
 2019-01,1.8,6.8
 2019-02,1.8,5.5
 2019-03,2.1,7.2
 2019-04,1.9,7.3
 2019-05,2.1,6.1
 2019-06,1.7,5.3
 2019-07,1.8,5.9
 2019-08,1.6,7.5
 2019-09,2.2,11.8
 2019-10,2.1,6.7
 2019-11,2.2,7.0
 2019-12,2.1,7.5
 2020-01,2.1,7.0
 2020-02,2.3,8.2
 2020-03,2.5,8.2
 2020-04,,7.4
 평균,2.2,7.4




