다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기압
,검색구분 : 월
,지점명 : 서울
,기간 : 2015 ~ 2020  01~12



선텍 전체 통계
일시,평균현지기압(hPa),최고현지기압(hPa),최저현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa)
 2015-01,1013.8,1025.7,1000.2,1024.7,1036.9,1010.8
 2015-02,1011.4,1024.0,1000.8,1022.2,1035.3,1011.3
 2015-03,1010.7,1025.1,998.4,1021.3,1035.8,1008.7
 2015-04,1005.5,1017.0,985.7,1015.8,1027.6,995.6
 2015-05,999.4,1008.6,986.8,1009.4,1018.8,996.8
 2015-06,996.9,1005.5,985.2,1006.7,1015.5,994.9
 2015-07,996.8,1005.2,977.6,1006.5,1014.9,987.1
 2015-08,998.5,1005.7,990.9,1008.2,1015.4,1000.7
 2015-09,1004.1,1014.9,995.8,1014.0,1024.9,1005.3
 2015-10,1008.2,1021.3,984.1,1018.4,1032.0,993.9
 2015-11,1012.9,1021.0,1002.4,1023.4,1031.4,1012.7
 2015-12,1014.8,1026.5,999.4,1025.6,1037.5,1010.1
 2016-01,1014.5,1022.9,1000.2,1025.5,1034.2,1011.0
 2016-02,1013.3,1024.1,989.2,1024.2,1035.3,999.3
 2016-03,1010.9,1019.1,999.2,1021.5,1030.2,1009.1
 2016-04,1003.2,1014.2,976.5,1013.3,1024.6,986.5
 2016-05,1001.3,1014.0,979.6,1011.3,1024.3,989.4
 2016-06,997.6,1004.0,986.9,1007.4,1013.8,996.5
 2016-07,997.8,1005.7,988.7,1007.5,1015.5,998.4
 2016-08,996.0,1002.5,977.1,1005.6,1012.5,987.0
 2016-09,1003.3,1013.1,986.8,1013.2,1023.2,996.6
 2016-10,1009.0,1021.4,996.5,1019.2,1032.2,1006.3
 2016-11,1012.6,1023.9,1001.5,1023.2,1034.8,1011.5
 2016-12,1014.2,1023.9,993.7,1025.0,1035.2,1003.9
 2017-01,1014.7,1025.5,1001.5,1025.6,1036.9,1011.9
 2017-02,1012.6,1023.4,995.6,1023.5,1034.4,1006.1
 2017-03,1009.0,1018.0,999.0,1019.6,1028.6,1009.3
 2017-04,1002.6,1015.4,985.3,1012.8,1025.8,995.4
 2017-05,1002.0,1012.8,989.4,1012.0,1022.9,999.1
 2017-06,998.4,1006.0,986.8,1008.2,1016.0,996.4
 2017-07,997.5,1003.6,990.0,1007.2,1013.3,999.7
 2017-08,997.7,1007.2,986.5,1007.4,1017.1,995.9
 2017-09,1003.1,1012.6,994.4,1013.0,1022.7,1004.0
 2017-10,1010.7,1018.8,999.3,1020.9,1029.2,1008.9
 2017-11,1012.4,1020.6,999.9,1023.0,1031.4,1010.0
 2017-12,1015.1,1023.1,997.7,1026.0,1034.4,1008.3
 2018-01,1013.5,1022.4,996.8,1024.6,1033.8,1007.5
 2018-02,1012.8,1019.9,991.8,1023.8,1031.2,1002.3
 2018-03,1009.9,1020.4,991.8,1020.3,1031.2,1002.4
 2018-04,1005.4,1015.1,993.7,1015.6,1025.3,1003.6
 2018-05,1001.3,1014.1,990.8,1011.2,1024.4,1000.8
 2018-06,997.8,1006.7,987.5,1007.6,1016.7,997.0
 2018-07,998.9,1006.3,985.6,1008.5,1016.3,995.2
 2018-08,997.4,1004.3,980.6,1007.0,1014.1,990.1
 2018-09,1003.3,1013.1,985.8,1013.2,1023.1,995.3
 2018-10,1008.6,1017.3,991.1,1018.9,1027.7,1001.0
 2018-11,1013.1,1019.7,994.6,1023.7,1030.6,1004.7
 2018-12,1016.8,1028.3,1003.4,1027.8,1039.7,1013.7
 2019-01,1015.4,1025.9,1006.9,1026.4,1037.1,1017.7
 2019-02,1013.7,1025.1,997.5,1024.5,1036.2,1008.0
 2019-03,1006.6,1015.6,989.4,1017.1,1026.3,999.6
 2019-04,1004.8,1014.4,993.9,1015.1,1025.1,1003.6
 2019-05,1001.6,1009.6,990.0,1011.5,1019.7,999.8
 2019-06,997.2,1006.2,984.8,1007.0,1016.1,994.3
 2019-07,996.2,1002.4,988.2,1005.9,1012.2,997.7
 2019-08,996.9,1005.7,981.2,1006.6,1015.6,990.8
 2019-09,1004.7,1014.9,978.3,1014.6,1024.9,987.7
 2019-10,1008.8,1019.3,992.1,1018.9,1029.6,1002.0
 2019-11,1012.2,1023.6,994.4,1022.7,1034.5,1004.7
 2019-12,1014.9,1028.1,1002.8,1025.8,1039.5,1013.1
 2020-01,1012.8,1022.8,987.1,1023.6,1034.0,997.4
 2020-02,1014.0,1025.3,1000.7,1024.8,1036.7,1011.4
 2020-03,1007.1,1016.6,990.5,1017.6,1027.5,1000.7
 2020-04,,1016.0,1001.5,,1026.4,1011.5
 평균,1006.5,1016.2,991.9,1016.8,1026.7,1001.9



