다중지점통계
[검색조건]
,분류 : 지상
,요소 : 습도
,검색구분 : 월
,지점명 : 서울
,기간 : 2015 ~ 2020  01~12




선텍 전체 통계
일시,평균상대습도(%),최소상대습도(%)
 2015-01,56,22
 2015-02,59,17
 2015-03,45,9
 2015-04,55,11
 2015-05,53,12
 2015-06,60,13
 2015-07,71,28
 2015-08,70,29
 2015-09,56,15
 2015-10,61,17
 2015-11,74,23
 2015-12,60,19
 2016-01,53,17
 2016-02,52,16
 2016-03,51,15
 2016-04,55,13
 2016-05,56,10
 2016-06,63,21
 2016-07,73,37
 2016-08,64,27
 2016-09,65,26
 2016-10,62,13
 2016-11,57,19
 2016-12,59,16
 2017-01,55,17
 2017-02,54,18
 2017-03,48,15
 2017-04,52,10
 2017-05,52,7
 2017-06,57,14
 2017-07,77,38
 2017-08,71,19
 2017-09,61,20
 2017-10,56,16
 2017-11,54,13
 2017-12,56,14
 2018-01,48,16
 2018-02,45,13
 2018-03,59,13
 2018-04,55,8
 2018-05,63,22
 2018-06,63,19
 2018-07,68,29
 2018-08,65,25
 2018-09,61,23
 2018-10,59,16
 2018-11,58,12
 2018-12,46,16
 2019-01,46,11
 2019-02,47,15
 2019-03,51,10
 2019-04,51,10
 2019-05,47,12
 2019-06,61,22
 2019-07,69,24
 2019-08,69,28
 2019-09,65,24
 2019-10,62,23
 2019-11,56,14
 2019-12,58,17
 2020-01,56,17
 2020-02,58,14
 2020-03,46,11
 2020-04,,10
 평균,58,18


