다중지점통계
[검색조건]
,분류 : 지상
,요소 : 일사, 일조
,검색구분 : 월
,지점명 : 서울
,기간 : 2015 ~ 2020  01~12





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2015-01,193.3,245.05
 2015-02,180.0,267.04
 2015-03,270.8,458.62
 2015-04,216.0,449.84
 2015-05,290.4,602.95
 2015-06,258.1,530.22
 2015-07,176.1,428.46
 2015-08,207.0,436.33
 2015-09,262.1,458.73
 2015-10,239.7,359.17
 2015-11,109.0,177.93
 2015-12,177.8,206.35
 2016-01,196.1,246.52
 2016-02,195.2,288.43
 2016-03,253.7,432.76
 2016-04,219.5,460.40
 2016-05,280.1,594.54
 2016-06,229.7,508.07
 2016-07,160.4,403.01
 2016-08,236.1,468.05
 2016-09,191.6,370.92
 2016-10,195.7,318.14
 2016-11,173.3,235.03
 2016-12,166.4,205.35
 2017-01,209.0,256.11
 2017-02,210.0,311.86
 2017-03,255.2,444.90
 2017-04,259.7,488.91
 2017-05,301.5,645.35
 2017-06,285.2,625.27
 2017-07,123.1,375.27
 2017-08,166.2,411.09
 2017-09,233.7,445.23
 2017-10,222.7,240.97
 2017-11,163.9,145.34
 2017-12,176.1,151.69
 2018-01,186.7,158.99
 2018-02,194.2,309.28
 2018-03,209.1,446.41
 2018-04,223.4,513.19
 2018-05,231.6,561.24
 2018-06,236.6,602.59
 2018-07,228.5,561.10
 2018-08,232.5,517.16
 2018-09,218.7,470.96
 2018-10,241.9,403.34
 2018-11,177.6,265.35
 2018-12,199.9,253.64
 2019-01,215.0,285.25
 2019-02,190.5,319.96
 2019-03,203.8,417.72
 2019-04,221.6,502.12
 2019-05,314.0,701.39
 2019-06,235.1,589.02
 2019-07,150.1,426.99
 2019-08,239.3,486.24
 2019-09,168.9,386.78
 2019-10,236.5,395.43
 2019-11,203.2,284.28
 2019-12,164.2,223.25
 2020-01,177.9,252.58
 2020-02,185.0,313.44
 2020-03,262.9,515.18
 2020-04,147.5,313.97
 평균,212.2,393.29

