"year","month","Date","Temp_Average","High_Temp_Average","Low_Temp_Average","Precipitation","Wind_Average","High_Wind","field_elevation_Average","High_field_elevation","Low_field_elevation","Sea_Level_Average","High_Sea_Level","Low_Sea_Level","Humidity_Average","Low_Humidity","Sunshine_Sum","Global_Solar_Radiation_Sum","Baechu_Wholesale","Pogi"
" 2015","01"," 2015-01",-0.9,3.6,-4.8,11.3,2.6,7.7,1013.8,1025.7,1000.2,1024.7,1036.9,1010.8,56,22,193.3,245.05,4000,1515
" 2015","02"," 2015-02",1,6,-2.9,22.7,2.9,8.5,1011.4,1024,1000.8,1022.2,1035.3,1011.3,59,17,180,267.04,4118,1545
" 2015","03"," 2015-03",6.3,12.4,1,9.6,3.1,9.1,1010.7,1025.1,998.4,1021.3,1035.8,1008.7,45,9,270.8,458.62,4477,1806
" 2015","04"," 2015-04",13.3,18.8,8.4,80.5,3.1,10.4,1005.5,1017,985.7,1015.8,1027.6,995.6,55,11,216,449.84,5182,1947
" 2015","05"," 2015-05",18.9,24.9,13.6,28.9,3,11.1,999.4,1008.6,986.8,1009.4,1018.8,996.8,53,12,290.4,602.95,8722,2722
" 2015","06"," 2015-06",23.6,29.5,18.9,99,2.5,7.8,996.9,1005.5,985.2,1006.7,1015.5,994.9,60,13,258.1,530.22,7818,3136
" 2015","07"," 2015-07",25.8,30,22.6,226,2.8,8,996.8,1005.2,977.6,1006.5,1014.9,987.1,71,28,176.1,428.46,6522,2730
" 2015","08"," 2015-08",26.3,30.8,22.8,72.9,2.4,8.1,998.5,1005.7,990.9,1008.2,1015.4,1000.7,70,29,207,436.33,6588,2446
" 2015","09"," 2015-09",22.4,28.1,17.5,26,2.3,6.7,1004.1,1014.9,995.8,1014,1024.9,1005.3,56,15,262.1,458.73,6425,2336
" 2015","10"," 2015-10",15.5,21.2,10.8,81.5,2.3,8.6,1008.2,1021.3,984.1,1018.4,1032,993.9,61,17,239.7,359.17,4690,2190
" 2015","11"," 2015-11",8.9,12.7,5.9,104.6,2.7,7.7,1012.9,1021,1002.4,1023.4,1031.4,1012.7,74,23,109,177.93,4440,1768
" 2015","12"," 2015-12",1.6,6,-2.1,29.1,2.3,8,1014.8,1026.5,999.4,1025.6,1037.5,1010.1,60,19,177.8,206.35,4333,1866
" 2016","01"," 2016-01",-3.2,1.1,-6.8,1,2.5,9,1014.5,1022.9,1000.2,1025.5,1034.2,1011,53,17,196.1,246.52,5613,2188
" 2016","02"," 2016-02",0.2,5.1,-4.1,47.6,2.8,7.6,1013.3,1024.1,989.2,1024.2,1035.3,999.3,52,16,195.2,288.43,8083,2995
" 2016","03"," 2016-03",7,12.6,2.4,40.5,2.4,7.1,1010.9,1019.1,999.2,1021.5,1030.2,1009.1,51,15,253.7,432.76,12045,3410
" 2016","04"," 2016-04",14.1,20.3,9.1,76.8,2.4,8,1003.2,1014.2,976.5,1013.3,1024.6,986.5,55,13,219.5,460.4,14875,3792
" 2016","05"," 2016-05",19.6,25.7,14.1,160.5,2.4,8.7,1001.3,1014,979.6,1011.3,1024.3,989.4,56,10,280.1,594.54,11800,3903
" 2016","06"," 2016-06",23.6,28.7,19.5,54.4,2.1,6.8,997.6,1004,986.9,1007.4,1013.8,996.5,63,21,229.7,508.07,6286,2548
" 2016","07"," 2016-07",26.2,29.8,23.3,358.2,2.1,6.1,997.8,1005.7,988.7,1007.5,1015.5,998.4,73,37,160.4,403.01,7095,2861
" 2016","08"," 2016-08",28,32.6,24.5,67.1,2.1,7.3,996,1002.5,977.1,1005.6,1012.5,987,64,27,236.1,468.05,14227,3942
" 2016","09"," 2016-09",23.1,27.9,19.3,33,2,8.1,1003.3,1013.1,986.8,1013.2,1023.2,996.6,65,26,191.6,370.92,20053,7155
" 2016","10"," 2016-10",16.1,21.3,11.6,74.8,2.1,6.3,1009,1021.4,996.5,1019.2,1032.2,1006.3,62,13,195.7,318.14,10550,4689
" 2016","11"," 2016-11",6.8,11.6,2.8,16.7,2.2,6.1,1012.6,1023.9,1001.5,1023.2,1034.8,1011.5,57,19,173.3,235.03,8364,2979
" 2016","12"," 2016-12",1.2,5.8,-2.7,61.1,2.2,7.2,1014.2,1023.9,993.7,1025,1035.2,1003.9,59,16,166.4,205.35,9429,2990
" 2017","01"," 2017-01",-1.8,2.9,-5.8,14.9,2.3,7,1014.7,1025.5,1001.5,1025.6,1036.9,1011.9,55,17,209,256.11,10200,3207
" 2017","02"," 2017-02",-0.2,4.8,-4.7,11.1,2.4,7.8,1012.6,1023.4,995.6,1023.5,1034.4,1006.1,54,18,210,311.86,9950,3272
" 2017","03"," 2017-03",6.3,12.3,1.7,7.9,2.4,8.5,1009,1018,999,1019.6,1028.6,1009.3,48,15,255.2,444.9,9364,3381
" 2017","04"," 2017-04",13.9,20,9.1,61.6,2.6,8.1,1002.6,1015.4,985.3,1012.8,1025.8,995.4,52,10,259.7,488.91,7600,3332
